Borough,Development Name,Consumption (KWH),Borough_avg_KWH_per_capita,Exceeds_Avg
BROOKLYN,MORRIS PARK SENIOR CITIZENS HOME,128837.0,178.9351063341072,True
BROOKLYN,MORRISANIA AIR RIGHTS,11088431.0,178.9351063341072,True
BROOKLYN,MOTT HAVEN,7825402.0,178.9351063341072,True
BROOKLYN,MURPHY,1859069.0,178.9351063341072,True
BROOKLYN,"NDF - BRONX OFFICE, 1200 WATERS PLACE",576048.0,178.9351063341072,True
BROOKLYN,"NDF - CENTRAL MAINTENANCE SHOP, 23 ASH ST",352370.0,178.9351063341072,True
BROOKLYN,"NDF - CENTRAL OFFICE, 250 BROADWAY",4440436.0,178.9351063341072,True
BROOKLYN,"NDF - CENTRAL OFFICE, 90 CHURCH ST",5725016.0,178.9351063341072,True
BROOKLYN,"NDF - LEASED HOUSING, 460 E FORDHAM RD",993744.0,178.9351063341072,True
BROOKLYN,"NDF - LI CITY OFFICE, 23-02 49 AVE",5290208.0,178.9351063341072,True
BROOKLYN,"NDF - PSA 1, 2860 WEST 23 ST",540543.0,178.9351063341072,True
BROOKLYN,"NDF - PSA 2, 560 SUTTER AVE",296831.0,178.9351063341072,True
BROOKLYN,"NDF - PSA 3, 25 CENTRAL AVE",651797.0,178.9351063341072,True
BROOKLYN,"NDF - PSA 4, 130 AVENUE C",1148451.0,178.9351063341072,True
BROOKLYN,"NDF - PSA 5, 221 EAST 123 ST",669518.0,178.9351063341072,True
BROOKLYN,"NDF - PSA 6, 2770 F DOUGLASS BLVD",1712978.0,178.9351063341072,True
BROOKLYN,"NDF - PSA 7, 737 MELROSE AVE",921721.0,178.9351063341072,True
BROOKLYN,"NDF - PSA 9 SATELLITE, 21-09 35TH AVE",106019.0,178.9351063341072,True
BROOKLYN,NEW LANE AREA,552031.0,178.9351063341072,True
BROOKLYN,NOSTRAND,498880.0,178.9351063341072,True
BROOKLYN,PELHAM PARKWAY,3339663.0,178.9351063341072,True
BROOKLYN,PENNSYLVANIA AVENUE-WORTMAN AVENUE,2130579.0,178.9351063341072,True
BROOKLYN,PINK,7787197.0,178.9351063341072,True
BROOKLYN,POLO GROUNDS TOWERS,9558047.0,178.9351063341072,True
BROOKLYN,POMONOK,824535.0,178.9351063341072,True
BROOKLYN,QUEENSBRIDGE SOUTH,4567040.0,178.9351063341072,True
BROOKLYN,RALPH AVENUE REHAB,203758.0,178.9351063341072,True
BROOKLYN,RANDALL AVENUE-BALCOM AVENUE,1730631.0,178.9351063341072,True
BROOKLYN,RANGEL,4565135.0,178.9351063341072,True
BROOKLYN,RIIS,684520.0,178.9351063341072,True
BROOKLYN,SAINT NICHOLAS AVENUE,619129.0,178.9351063341072,True
BROOKLYN,SAMUEL (CITY),1701279.0,178.9351063341072,True
BROOKLYN,SAMUEL (MHOP) I,127892.0,178.9351063341072,True
BROOKLYN,SAMUEL (MHOP) II,26901.0,178.9351063341072,True
BROOKLYN,SAMUEL (MHOP) III,11378.0,178.9351063341072,True
BROOKLYN,SARATOGA SQUARE,380675.0,178.9351063341072,True
BROOKLYN,SARATOGA VILLAGE,864266.0,178.9351063341072,True
BROOKLYN,SEDGWICK,4797243.0,178.9351063341072,True
BROOKLYN,SEWARD PARK EXTENSION,2214163.0,178.9351063341072,True
BROOKLYN,SHEEPSHEAD BAY,401280.0,178.9351063341072,True
BROOKLYN,SMITH,4747688.0,178.9351063341072,True
BROOKLYN,SOUTH JAMAICA I,160961.0,178.9351063341072,True
BROOKLYN,SOUTH JAMAICA II,2078978.0,178.9351063341072,True
BROOKLYN,STANTON STREET,93670.0,178.9351063341072,True
BROOKLYN,STAPLETON,6435538.0,178.9351063341072,True
BROOKLYN,STEBBINS AVENUE-HEWITT PLACE,321428.0,178.9351063341072,True
BROOKLYN,STERLING PLACE REHABS (SAINT JOHNS-STERLING),172855.0,178.9351063341072,True
BROOKLYN,STERLING PLACE REHABS (STERLING-BUFFALO),216710.0,178.9351063341072,True
BROOKLYN,STRAUS,1662852.0,178.9351063341072,True
BROOKLYN,STUYVESANT GARDENS I,2776916.0,178.9351063341072,True
BROOKLYN,STUYVESANT GARDENS II,367655.0,178.9351063341072,True
BROOKLYN,SUMNER,558000.0,178.9351063341072,True
BROOKLYN,VAN DYKE I,8103826.15,178.9351063341072,True
BROOKLYN,VAN DYKE II,482569.36,178.9351063341072,True
BROOKLYN,VANDALIA AVENUE,792933.0,178.9351063341072,True
BROOKLYN,VERNON AVENUE,1578254.0,178.9351063341072,True
BROOKLYN,VLADECK,5620524.0,178.9351063341072,True
BROOKLYN,WALD,1521040.0,178.9351063341072,True
BROOKLYN,WASHINGTON,2411560.0,178.9351063341072,True
BROOKLYN,WEBSTER,1849278.0,178.9351063341072,True
BROOKLYN,WEEKSVILLE GARDENS,1858171.0,178.9351063341072,True
BROOKLYN,WEST 84TH STREET,163227.0,178.9351063341072,True
BROOKLYN,WEST BRIGHTON I,4202270.0,178.9351063341072,True
BROOKLYN,WEST FARMS ROAD REHAB,353855.0,178.9351063341072,True
BROOKLYN,WEST FARMS SQUARE CONVENTIONAL,39372.0,178.9351063341072,True
BROOKLYN,WEST SIDE URBAN RENEWAL (BROWNSTONES),1042203.0,178.9351063341072,True
BROOKLYN,WEST SIDE URBAN RENEWAL (SITE A),493345.0,178.9351063341072,True
BROOKLYN,WEST SIDE URBAN RENEWAL (SITE B),1109156.0,178.9351063341072,True
BROOKLYN,WEST SIDE URBAN RENEWAL (SITE C),1037278.0,178.9351063341072,True
BROOKLYN,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,695103.0,178.9351063341072,True
BROOKLYN,WHITE,1108547.0,178.9351063341072,True
BROOKLYN,WHITMAN,8408592.0,178.9351063341072,True
MANHATTAN,AMSTERDAM,7689710.0,147.86233181433604,True
MANHATTAN,AMSTERDAM ADDITION,1370511.0,147.86233181433604,True
MANHATTAN,AMSTERDAM AVENUE,1269523.0,147.86233181433604,True
MANHATTAN,ARMSTRONG I,912411.0,147.86233181433604,True
MANHATTAN,BARUCH,12373007.0,147.86233181433604,True
MANHATTAN,BARUCH HOUSES ADDITION,733644.0,147.86233181433604,True
MANHATTAN,BAY VIEW,247886.0,147.86233181433604,True
MANHATTAN,BORINQUEN PLAZA II,1381447.0,147.86233181433604,True
MANHATTAN,BREUKELEN,287840.0,147.86233181433604,True
MANHATTAN,CASTLE HILL,7445600.0,147.86233181433604,True
MANHATTAN,CHELSEA,2948331.0,147.86233181433604,True
MANHATTAN,CHELSEA ADDITION,645284.0,147.86233181433604,True
MANHATTAN,CLAREMONT PARKWAY-FRANKLIN AVENUE,423412.0,147.86233181433604,True
MANHATTAN,CLAREMONT REHAB (GROUP 2),243907.0,147.86233181433604,True
MANHATTAN,CLAREMONT REHAB (GROUP 3),229871.0,147.86233181433604,True
MANHATTAN,CLAREMONT REHAB (GROUP 4),282809.0,147.86233181433604,True
MANHATTAN,COLLEGE AVENUE-EAST 165TH STREET,118000.0,147.86233181433604,True
MANHATTAN,CONEY ISLAND,1003400.0,147.86233181433604,True
MANHATTAN,CYPRESS HILLS,890687.0,147.86233181433604,True
MANHATTAN,DOUGLASS I,174480.0,147.86233181433604,True
MANHATTAN,DYCKMAN,1711400.0,147.86233181433604,True
MANHATTAN,EAGLE AVENUE-EAST 163RD STREET,455180.0,147.86233181433604,True
MANHATTAN,EAST 004TH STREET REHAB,66670.0,147.86233181433604,True
MANHATTAN,EAST 028TH STREET,1194982.0,147.86233181433604,True
MANHATTAN,EAST 111TH STREET,350320.0,147.86233181433604,True
MANHATTAN,EAST 120TH STREET REHAB,71727.0,147.86233181433604,True
MANHATTAN,EAST 152ND STREET-COURTLANDT AVENUE,1310516.0,147.86233181433604,True
MANHATTAN,EAST 165TH STREET-BRYANT AVENUE,239409.0,147.86233181433604,True
MANHATTAN,EAST 173RD STREET-VYSE AVENUE,224221.0,147.86233181433604,True
MANHATTAN,EAST 178TH STREET,1498066.0,147.86233181433604,True
MANHATTAN,EAST 180TH STREET-MONTEREY AVENUE,1823865.0,147.86233181433604,True
MANHATTAN,EAST NEW YORK CITY LINE,688417.0,147.86233181433604,True
MANHATTAN,EAST RIVER,7694440.0,147.86233181433604,True
MANHATTAN,EASTCHESTER GARDENS,1521645.0,147.86233181433604,True
MANHATTAN,EDENWALD,4233760.0,147.86233181433604,True
MANHATTAN,FIRST HOUSES,87264.0,147.86233181433604,True
MANHATTAN,FOREST,1404400.0,147.86233181433604,True
MANHATTAN,GLENWOOD,1374960.0,147.86233181433604,True
MANHATTAN,GOWANUS,463760.0,147.86233181433604,True
MANHATTAN,GRAMPION,43927.0,147.86233181433604,True
MANHATTAN,GRANT,3617400.0,147.86233181433604,True
MANHATTAN,GUN HILL,1128680.0,147.86233181433604,True
MANHATTAN,HARLEM RIVER,1968480.0,147.86233181433604,True
MANHATTAN,HARLEM RIVER II,890708.0,147.86233181433604,True
MANHATTAN,HARRISON AVENUE REHAB (GROUP A),59269.0,147.86233181433604,True
MANHATTAN,HARRISON AVENUE REHAB (GROUP B),212286.0,147.86233181433604,True
MANHATTAN,HOWARD AVENUE,4319.0,147.86233181433604,True
MANHATTAN,HOWARD AVENUE-PARK PLACE,253217.0,147.86233181433604,True
MANHATTAN,HUGHES APARTMENTS,3392131.0,147.86233181433604,True
MANHATTAN,HUNTS POINT AVENUE REHAB,219255.0,147.86233181433604,True
MANHATTAN,HYLAN,2227200.0,147.86233181433604,True
MANHATTAN,INDEPENDENCE,4248449.0,147.86233181433604,True
MANHATTAN,INGERSOLL,3761387.0,147.86233181433604,True
MANHATTAN,INTERNATIONAL TOWER,3723.0,147.86233181433604,True
MANHATTAN,KINGSBOROUGH,2353320.0,147.86233181433604,True
MANHATTAN,KINGSBOROUGH EXTENSION,639746.0,147.86233181433604,True
MANHATTAN,LA GUARDIA,6942976.0,147.86233181433604,True
MANHATTAN,LA GUARDIA ADDITION,491059.0,147.86233181433604,True
MANHATTAN,LAFAYETTE,6064416.0,147.86233181433604,True
MANHATTAN,LATIMER GARDENS,2715860.0,147.86233181433604,True
MANHATTAN,LEAVITT STREET-34TH AVENUE,541887.0,147.86233181433604,True
MANHATTAN,LEHMAN VILLAGE,4557087.0,147.86233181433604,True
MANHATTAN,LENOX ROAD-ROCKAWAY PARKWAY,108582.0,147.86233181433604,True
MANHATTAN,LEXINGTON,2634178.0,147.86233181433604,True
MANHATTAN,LINCOLN,7891991.0,147.86233181433604,True
MANHATTAN,LINDEN,2798976.0,147.86233181433604,True
MANHATTAN,LONG ISLAND BAPTIST HOUSES,72436.0,147.86233181433604,True
MANHATTAN,LONGFELLOW AVENUE REHAB,210035.0,147.86233181433604,True
MANHATTAN,LOW HOUSES,3810558.0,147.86233181433604,True
MANHATTAN,LOWER EAST SIDE I INFILL,429764.0,147.86233181433604,True
MANHATTAN,LOWER EAST SIDE II,407889.0,147.86233181433604,True
MANHATTAN,LOWER EAST SIDE III,159364.0,147.86233181433604,True
MANHATTAN,LOWER EAST SIDE REHAB (GROUP 5),124415.0,147.86233181433604,True
MANHATTAN,MANHATTANVILLE REHAB (GROUP 2),18990.0,147.86233181433604,True
MANHATTAN,MANHATTANVILLE REHAB (GROUP 3),80143.0,147.86233181433604,True
MANHATTAN,MARBLE HILL,8685148.0,147.86233181433604,True
MANHATTAN,MARCY,3677178.0,147.86233181433604,True
MANHATTAN,MARLBORO,5564999.0,147.86233181433604,True
MANHATTAN,NOSTRAND,1012750.0,147.86233181433604,True
MANHATTAN,OCEAN BAY APARTMENTS (OCEANSIDE),378960.0,147.86233181433604,True
